Latitude And Longitude,Name of Agency,Description,Ward Number,Phone Number,Working Hours,Other Details
"13.109023, 77.576986",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the Kempegowda ward.",1,+91 9741533700,,
"13.109023, 77.576986",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the Chowdeshwari ward.",2,+91 9741533700,,
"13.090686, 77.584379",Gilgal Charitable Trust,"Waste Collection Agency commissioned by BBMP, for the Attur ward.",3,+91 9886479773,,
"13.088861, 77.588980",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the Yelahanka Satellite ward.",4,+91 9741533700,,
"13.117994, 77.615932",Gilgal Charitable Trust,"Waste Collection Agency commissioned by BBMP, for the Jakkur ward.",5,+91 9886479773,,
"13.069147, 77.631983",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the Thanisandra ward.",6,+91 9741533700,,
"13.058958, 77.591029",BBMP,"Waste Collection Agency commissioned by BBMP, for the Byatarayanapura ward.",7,-,,
"13.064077, 77.583998",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the Kodigehalli ward.",8,+91 9632393384,,
"13.069021, 77.564023",Swacch Bangalore,"Waste Collection Agency commissioned by BBMP, for the Vidyaranapura ward.",9,+91 9880880123,,
"13.069021, 77.564023",Swacch Bangalore,"Waste Collection Agency commissioned by BBMP, for the Doddabommasandra ward.",10,+91 9880880123,,
"13.085002, 77.540042",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the Kuvempunagar ward.",11,+91 9741533700,,
"13.072043, 77.531067",Navachethana Foundation,"Waste Collection Agency commissioned by BBMP, for the Shettyhalli ward.",12,+91 7022414199,,
"13.055997, 77.513007",Privarthana Grameena Abhiruddhi and Mahila Sabalikarana Samasthe,"Waste Collection Agency commissioned by BBMP, for the Mallasandra ward.",13,+91 9035782669,,
"13.072043, 77.531067",ITC E-Shree Foundation,"Waste Collection Agency commissioned by BBMP, for the Bagalagunte ward.",14,+91 9741533700,,
"13.055997, 77.513007",ITC E-Shree Foundation,"Waste Collection Agency commissioned by BBMP, for the T. Dasarahalli ward.",15,+91 9741533700,,
,,"Waste Collection Agency commissioned by BBMP, for the Jalahalli ward.",16,in  meeting,,
,,"Waste Collection Agency commissioned by BBMP, for the J P Park ward.",17,busy,,
"13.038041, 77.561974",Harish,"Waste Collection Agency commissioned by BBMP, for the Radhakrishna Temple ward.",18,+91 9901269491,,
"13.040840, 77.581673",Harish,"Waste Collection Agency commissioned by BBMP, for the Sanjaynagar ward.",19,+91 9901269491,"7:00 am to 5:00 pm, Monday - Sunday.","Plastics: Rs 10-15 per kg, Paper: Rs 9-10 per kg, Cardboard: Rs 5 per kg."
"13.017960, 77.587800",Afsar,"Waste Collection Agency commissioned by BBMP, for the Ganganagar ward.",20,+91 9986067996,"8:00 am to 5:30 pm, Monday - Sunday.","Plastics: Rs 10-12 per kg, Paper: Rs 10-15 per kg."
"13.017950, 77.590010",Muniyappa,"Waste Collection Agency commissioned by BBMP, for the Hebbal ward.",21,+91 9611735526,"11:00 am to 3:00 pm, Monday - Sunday. ","Plastics: Rs 10-12 per kg, Paper: Rs 10-15 per kg."
"13.043760, 77.565361",Annachie,"Waste Collection Agency commissioned by BBMP, for the Vishwanatha Nagenaha ward.",22,+91 8892010634,,
"13.034550, 77.639020",Grace,"Waste Collection Agency commissioned by BBMP, for the Nagavara ward.",23,+91 9731234536,,
"13.034550, 77.639020",Grace,"Waste Collection Agency commissioned by BBMP, for the HBR Layout ward.",24,+91 9731234536,,
"13.038005, 77.680994",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the Horamavu ward.",25,+91 9880293929,,
"13.038005, 77.680994",ITC Waste Collection Centre,"Waste Collection Agency commissioned by BBMP, for the Ramamurthynagar  ward.",26,+91 7204859951,"10:00 am to 5:00 pm, Monday-Sunday.","Very responsive and helpful people. Rs 12 per kg for mixed plastic, Rs 15 per kg for pure plastic, Rs 6 per kg for cardboard, Rs 10 per kg for pure paper."
"13.037430, 77.647830",Karnataka Nadar Sangha Welfare Association,"Waste Collection Agency commissioned by BBMP, for the Banaswadi ward.",27,+91 9845482424,,
"13.033260, 77.608900",Syed Rafic,"Waste Collection Agency commissioned by BBMP, for the Kammanahalli ward.",28,+91 9535992786,,
"13.025590, 77.633350",Vijay kumar,"Waste Collection Agency commissioned by BBMP, for the Kacharakanahalli ward.",29,+91 9632455048,,
"13.022320, 77.621460",Grace,"Waste Collection Agency commissioned by BBMP, for the Kadugondanahalli ward.",30,+91 9902276299,,
"13.029750, 77.608710",Naveed pasha,"Waste Collection Agency commissioned by BBMP, for the Kushalnagar ward.",31,+91 9341073009,,
"13.029750, 77.608710",Gilgal Charitable trust,"Waste Collection Agency commissioned by BBMP, for the Kavalbyrasandra ward.",32,+91 8892010634,,
,,"Waste Collection Agency commissioned by BBMP, for the Manorayana Palya ward.",33,no number given,,
"13.014610, 77.592827",Venkatesh,"Waste Collection Agency commissioned by BBMP, for the Gangenahalli ward.",34,+91 9738060226,,
"13.042610, 77.566450",______,"Waste Collection Agency commissioned by BBMP, for the Jayachamrajendra nagar ward.",35,-,,
"13.039038, 77.560948",Mr. Subramani," Waste Collection Agency commissioned by BBMP, for the Mathikere ward.",36,+91 9845971995,,
,,"Waste Collection Agency commissioned by BBMP, for the Yeshwanthapura ward.",37,not picking up call,,
"13.031004, 77.529983",Devraj,"Waste Collection Agency commissioned by BBMP, for the H.M.T  ward.",38,+91 9845747389,,
